#Resolution = MIN
#Settling time = 0.7s
datetime, level, level (hex),  voltage
2023-10-11 14:16:39.176971,43520,aa00,4.037324e-01
2023-10-11 14:16:43.943210,63232,f700,5.865615e-01
2023-10-11 14:16:48.707261,49920,c300,4.630920e-01
2023-10-11 14:16:53.483222,29696,7400,2.754789e-01
2023-10-11 14:16:58.240844,12544,3100,1.163630e-01
2023-10-11 14:17:02.997016,60928,ee00,5.651762e-01
2023-10-11 14:17:07.805738,11520,2d00,1.068666e-01
2023-10-11 14:17:12.566113,768,300,7.157884e-03
2023-10-11 14:17:17.322904,2304,900,2.137362e-02
2023-10-11 14:17:22.077159,62976,f600,5.841880e-01
2023-10-11 14:17:26.844417,40960,a000,3.799968e-01
2023-10-11 14:17:31.615243,28416,6f00,2.636265e-01
2023-10-11 14:17:36.391200,52480,cd00,4.868478e-01
2023-10-11 14:17:41.151628,13568,3500,1.258744e-01
2023-10-11 14:17:45.931221,49152,c000,4.559810e-01
2023-10-11 14:17:50.691254,18176,4700,1.686251e-01
2023-10-11 14:17:55.787203,64512,fc00,5.984474e-01
2023-10-11 14:18:00.544441,27136,6a00,2.517557e-01
2023-10-11 14:18:05.311249,6656,1a00,6.175349e-02
2023-10-11 14:18:10.077042,43264,a900,4.013836e-01
2023-10-11 14:18:14.839502,45568,b200,4.227477e-01
2023-10-11 14:18:19.614651,55296,d800,5.129660e-01
2023-10-11 14:18:24.401790,39680,9b00,3.681422e-01
2023-10-11 14:18:29.165873,41728,a300,3.871286e-01
2023-10-11 14:18:33.930363,10240,2800,9.499984e-02
2023-10-11 14:18:38.687243,36864,9000,3.420127e-01
2023-10-11 14:18:43.523403,38656,9700,3.586349e-01
2023-10-11 14:18:48.278842,54272,d400,5.034881e-01
2023-10-11 14:18:53.037012,51456,c900,4.773665e-01
2023-10-11 14:18:57.894354,41472,a200,3.847656e-01
2023-10-11 14:19:02.671197,52992,cf00,4.916005e-01
2023-10-11 14:19:07.435349,22016,5600,2.042510e-01
2023-10-11 14:19:12.191240,46080,b400,4.274995e-01
2023-10-11 14:19:16.975223,35072,8900,3.253889e-01
2023-10-11 14:19:21.763974,7680,1e00,7.125040e-02
2023-10-11 14:19:26.577375,29184,7200,2.707516e-01
2023-10-11 14:19:31.354414,52736,ce00,4.892231e-01
2023-10-11 14:19:36.144951,22528,5800,2.089926e-01
2023-10-11 14:19:40.903427,57344,e000,5.319650e-01
2023-10-11 14:19:45.661871,1536,600,1.425491e-02
2023-10-11 14:19:50.456036,30464,7700,2.826258e-01
2023-10-11 14:19:55.263253,55040,d700,5.105874e-01
2023-10-11 14:20:00.027247,16640,4100,1.543764e-01
2023-10-11 14:20:04.823249,38144,9500,3.538746e-01
2023-10-11 14:20:09.623250,61952,f200,5.746985e-01
2023-10-11 14:20:14.403381,53248,d000,4.939588e-01
2023-10-11 14:20:19.174860,61184,ef00,5.675850e-01
2023-10-11 14:20:23.947949,17152,4300,1.591298e-01
2023-10-11 14:20:28.719275,5120,1400,4.750533e-02
2023-10-11 14:20:33.499289,50944,c700,4.726195e-01
2023-10-11 14:20:38.260168,64000,fa00,5.937068e-01
2023-10-11 14:20:43.036120,49664,c200,4.607293e-01
2023-10-11 14:20:47.849361,34560,8700,3.206163e-01
2023-10-11 14:20:52.619254,45824,b300,4.250948e-01
