#Resolution = 0.0001mV
#Settling time = 0.5s
level, level (hex),  voltage
0,0,1.270764e-05
1,1,1.759972e-05
2,2,2.693594e-05
3,3,3.605762e-05
4,4,4.565318e-05
5,5,5.472771e-05
6,6,6.371736e-05
7,7,7.283668e-05
8,8,8.212575e-05
9,9,9.149026e-05
10,a,1.006237e-04
11,b,1.103136e-04
12,c,1.191382e-04
13,d,1.282929e-04
14,e,1.377305e-04
15,f,1.471209e-04
16,10,1.569900e-04
17,11,1.656118e-04
18,12,1.754078e-04
19,13,1.843644e-04
20,14,1.931726e-04
21,15,2.028860e-04
22,16,2.113358e-04
23,17,2.209431e-04
24,18,2.303383e-04
25,19,2.392643e-04
26,1a,2.491592e-04
27,1b,2.588774e-04
28,1c,2.669594e-04
29,1d,2.765620e-04
30,1e,2.864381e-04
31,1f,2.957885e-04
32,20,3.045683e-04
33,21,3.146425e-04
34,22,3.232525e-04
35,23,3.331664e-04
36,24,3.421018e-04
37,25,3.510985e-04
38,26,3.601896e-04
39,27,3.692240e-04
40,28,3.789610e-04
41,29,3.884363e-04
42,2a,3.975957e-04
43,2b,4.069626e-04
44,2c,4.165676e-04
45,2d,4.251706e-04
46,2e,4.345870e-04
47,2f,4.440552e-04
48,30,4.532500e-04
49,31,4.621854e-04
50,32,4.720851e-04
51,33,4.807706e-04
52,34,4.907293e-04
53,35,4.995680e-04
54,36,5.092579e-04
55,37,5.181745e-04
56,38,5.273739e-04
57,39,5.371298e-04
58,3a,5.464896e-04
59,3b,5.551846e-04
60,3c,5.650371e-04
61,3d,5.734468e-04
62,3e,5.833866e-04
63,3f,5.920768e-04
64,40,6.004629e-04
65,41,6.097661e-04
66,42,6.191565e-04
67,43,6.278208e-04
68,44,6.369967e-04
69,45,6.462033e-04
70,46,6.559403e-04
71,47,6.648710e-04
72,48,6.742709e-04
73,49,6.838028e-04
74,4a,6.926109e-04
75,4b,7.019967e-04
76,4c,7.111961e-04
77,4d,7.207634e-04
78,4e,7.302010e-04
79,4f,7.391930e-04
80,50,7.483689e-04
81,51,7.584360e-04
82,52,7.676850e-04
83,53,7.764177e-04
84,54,7.852399e-04
85,55,7.948473e-04
86,56,8.044475e-04
87,57,8.137437e-04
