#Resolution = 0.0001mV
#Settling time = 0.5s
level, level (hex),  voltage
0,0,3.762545e-05
1,1,3.740619e-05
2,2,4.262598e-05
3,3,4.404056e-05
4,4,4.484923e-05
5,5,4.930751e-05
6,6,5.331313e-05
7,7,5.198342e-05
8,8,5.537606e-05
9,9,5.782328e-05
10,a,6.023278e-05
11,b,6.310437e-05
12,c,6.457553e-05
13,d,6.542664e-05
14,e,6.790923e-05
15,f,6.934502e-05
16,10,7.638255e-05
17,11,7.583794e-05
18,12,7.862938e-05
19,13,8.030094e-05
20,14,8.298157e-05
21,15,8.396234e-05
22,16,8.818722e-05
23,17,9.025486e-05
24,18,9.269501e-05
25,19,9.475794e-05
26,1a,9.818122e-05
27,1b,9.820951e-05
28,1c,1.017224e-04
29,1d,1.033515e-04
30,1e,1.057752e-04
31,1f,1.091725e-04
32,20,1.124944e-04
33,21,1.134681e-04
34,22,1.155805e-04
35,23,1.169763e-04
36,24,1.220617e-04
37,25,1.230849e-04
38,26,1.251407e-04
39,27,1.282316e-04
40,28,1.295165e-04
41,29,1.313908e-04
42,2a,1.349320e-04
43,2b,1.376645e-04
44,2c,1.400551e-04
45,2d,1.414461e-04
46,2e,1.438745e-04
47,2f,1.471209e-04
48,30,1.501151e-04
49,31,1.513600e-04
50,32,1.551982e-04
51,33,1.567165e-04
52,34,1.581405e-04
53,35,1.602435e-04
54,36,1.636055e-04
55,37,1.674980e-04
56,38,1.670099e-04
57,39,1.700536e-04
58,3a,1.730030e-04
59,3b,1.753937e-04
60,3c,1.782629e-04
61,3d,1.800217e-04
62,3e,1.815141e-04
63,3f,1.829687e-04
64,40,1.861940e-04
65,41,1.879999e-04
66,42,1.906098e-04
67,43,1.941298e-04
68,44,1.949384e-04
69,45,1.987884e-04
70,46,1.997103e-04
71,47,2.034448e-04
72,48,2.073631e-04
73,49,2.077710e-04
74,4a,2.112108e-04
75,4b,2.131063e-04
76,4c,2.167300e-04
77,4d,2.178216e-04
78,4e,2.204126e-04
79,4f,2.206201e-04
80,50,2.253448e-04
81,51,2.281103e-04
