#Resolution = 0.0001mV
#Settling time = 0.5s
level, level (hex),  voltage
0,0,2.807704e-05
1,1,2.683221e-05
2,2,3.016354e-05
3,3,3.274043e-05
4,4,3.401827e-05
5,5,3.629810e-05
6,6,4.142831e-05
7,7,4.346530e-05
8,8,4.475021e-05
9,9,4.775855e-05
10,a,4.970124e-05
11,b,5.329898e-05
12,c,5.410293e-05
13,d,5.720322e-05
14,e,5.812741e-05
15,f,6.149175e-05
16,10,6.429498e-05
17,11,6.511779e-05
18,12,6.840669e-05
19,13,6.890179e-05
20,14,7.216239e-05
21,15,7.404378e-05
22,16,7.635898e-05
23,17,7.825923e-05
24,18,8.109546e-05
25,19,8.418160e-05
26,1a,8.884264e-05
27,1b,8.928587e-05
28,1c,9.080419e-05
29,1d,9.253941e-05
30,1e,9.633283e-05
31,1f,9.865510e-05
32,20,1.004728e-04
33,21,1.039456e-04
34,22,1.051810e-04
35,23,1.101250e-04
36,24,1.106177e-04
37,25,1.131710e-04
38,26,1.151750e-04
39,27,1.165024e-04
40,28,1.190840e-04
41,29,1.244853e-04
42,2a,1.254779e-04
43,2b,1.287715e-04
44,2c,1.297358e-04
45,2d,1.406657e-04
46,2e,1.357241e-04
47,2f,1.381242e-04
48,30,1.405384e-04
49,31,1.416725e-04
50,32,1.450250e-04
51,33,1.493536e-04
52,34,1.502990e-04
53,35,1.514448e-04
54,36,1.550308e-04
55,37,1.577916e-04
56,38,1.604651e-04
57,39,1.619434e-04
58,3a,1.641643e-04
59,3b,1.664724e-04
60,3c,1.692002e-04
61,3d,1.714352e-04
62,3e,1.763320e-04
63,3f,1.764287e-04
64,40,1.786613e-04
65,41,1.826787e-04
66,42,1.817050e-04
67,43,1.853947e-04
68,44,1.872738e-04
69,45,1.907301e-04
70,46,1.907984e-04
71,47,1.943349e-04
72,48,1.956127e-04
73,49,1.992199e-04
74,4a,2.014832e-04
75,4b,2.036074e-04
76,4c,2.094921e-04
77,4d,2.085585e-04
78,4e,2.110646e-04
79,4f,2.140164e-04
80,50,2.167677e-04
81,51,2.192951e-04
82,52,2.212024e-04
83,53,2.265165e-04
84,54,2.265142e-04
85,55,2.286974e-04
86,56,2.300271e-04
87,57,2.332334e-04
88,58,2.347989e-04
89,59,2.375008e-04
90,5a,2.406671e-04
91,5b,2.416148e-04
92,5c,2.455709e-04
93,5d,2.483836e-04
94,5e,2.508426e-04
95,5f,2.524128e-04
96,60,2.536270e-04
97,61,2.565693e-04
98,62,2.597733e-04
99,63,2.617325e-04
100,64,2.641514e-04
101,65,2.683504e-04
102,66,2.689115e-04
103,67,2.708919e-04
104,68,2.756755e-04
105,69,2.765243e-04
