#Resolution = 0.0001mV
#Settling time = 0.5s
level, level (hex),  voltage
0,0,3.655037e-05
1,1,3.847655e-05
2,2,4.132221e-05
3,3,4.365627e-05
4,4,4.718800e-05
5,5,4.778684e-05
6,6,5.079046e-05
7,7,5.315517e-05
8,8,5.712070e-05
9,9,5.926851e-05
10,a,5.982019e-05
11,b,6.315624e-05
12,c,6.506592e-05
13,d,6.793752e-05
14,e,7.256083e-05
15,f,7.205394e-05
16,10,7.602184e-05
17,11,7.995672e-05
18,12,8.154813e-05
19,13,8.203144e-05
20,14,8.466492e-05
21,15,9.065330e-05
22,16,9.188398e-05
23,17,9.349896e-05
24,18,9.472021e-05
25,19,9.858909e-05
26,1a,9.895452e-05
27,1b,1.025334e-04
28,1c,1.053178e-04
29,1d,1.060227e-04
30,1e,1.095144e-04
31,1f,1.095568e-04
32,20,1.135223e-04
33,21,1.161888e-04
34,22,1.179830e-04
35,23,1.188011e-04
36,24,1.227666e-04
37,25,1.342931e-04
38,26,1.318741e-04
39,27,1.350687e-04
40,28,1.419577e-04
41,29,1.391734e-04
42,2a,1.425542e-04
43,2b,1.426344e-04
44,2c,1.461119e-04
45,2d,1.481253e-04
46,2e,1.526095e-04
47,2f,1.556320e-04
48,30,1.566387e-04
49,31,1.602388e-04
50,32,1.625186e-04
51,33,1.635607e-04
52,34,1.653124e-04
53,35,1.678657e-04
54,36,1.711405e-04
55,37,1.757072e-04
56,38,1.832516e-04
57,39,1.795124e-04
58,3a,1.866608e-04
59,3b,1.835676e-04
60,3c,1.942076e-04
61,3d,1.873657e-04
62,3e,1.951176e-04
63,3f,1.929722e-04
64,40,1.938162e-04
65,41,1.982108e-04
66,42,2.122434e-04
67,43,2.046542e-04
68,44,2.040460e-04
69,45,2.071274e-04
70,46,2.069906e-04
71,47,2.096265e-04
72,48,2.174703e-04
73,49,2.145233e-04
74,4a,2.239797e-04
75,4b,2.212826e-04
76,4c,2.260922e-04
77,4d,2.248120e-04
78,4e,2.264387e-04
79,4f,2.344688e-04
80,50,2.331486e-04
81,51,2.336484e-04
82,52,2.377931e-04
83,53,2.388988e-04
84,54,2.444463e-04
85,55,2.481855e-04
86,56,2.450829e-04
87,57,2.606220e-04
88,58,2.525566e-04
89,59,2.639392e-04
90,5a,2.564585e-04
91,5b,2.565646e-04
92,5c,2.658253e-04
93,5d,2.649813e-04
94,5e,2.655943e-04
95,5f,2.678034e-04
96,60,2.700927e-04
97,61,2.714954e-04
98,62,2.798226e-04
99,63,2.779436e-04
100,64,2.802399e-04
101,65,2.809165e-04
102,66,2.844553e-04
103,67,2.860727e-04
104,68,2.896209e-04
105,69,3.045424e-04
106,6a,3.088215e-04
107,6b,2.963732e-04
108,6c,3.010366e-04
109,6d,3.003953e-04
110,6e,3.039695e-04
111,6f,3.077040e-04
112,70,3.075389e-04
113,71,3.291513e-04
114,72,3.187070e-04
115,73,3.159863e-04
116,74,3.191196e-04
117,75,3.223967e-04
118,76,3.292574e-04
119,77,3.257893e-04
120,78,3.259049e-04
121,79,3.378746e-04
122,7a,3.421702e-04
123,7b,3.371036e-04
124,7c,3.386762e-04
125,7d,3.408947e-04
126,7e,3.436295e-04
127,7f,3.450748e-04
128,80,3.465412e-04
129,81,3.495826e-04
130,82,3.515040e-04
131,83,3.532510e-04
132,84,3.561344e-04
133,85,3.573722e-04
134,86,3.602414e-04
135,87,3.638910e-04
136,88,3.650486e-04
137,89,3.689199e-04
138,8a,3.826484e-04
139,8b,3.740312e-04
140,8c,3.741845e-04
141,8d,3.784683e-04
142,8e,3.811560e-04
143,8f,3.829053e-04
144,90,3.868567e-04
145,91,3.859962e-04
146,92,3.881039e-04
147,93,3.926494e-04
148,94,3.935807e-04
149,95,3.968578e-04
150,96,3.985129e-04
151,97,4.005334e-04
152,98,4.043268e-04
153,99,4.057720e-04
154,9a,4.084974e-04
155,9b,4.105839e-04
156,9c,4.137620e-04
157,9d,4.161102e-04
158,9e,4.170839e-04
159,9f,4.207595e-04
160,a0,4.236476e-04
161,a1,4.251447e-04
162,a2,4.275895e-04
163,a3,4.284713e-04
164,a4,4.325924e-04
165,a5,4.374161e-04
166,a6,4.362279e-04
167,a7,4.396889e-04
168,a8,4.399152e-04
169,a9,4.440930e-04
170,aa,4.469763e-04
171,ab,4.480514e-04
172,ac,4.541388e-04
173,ad,4.540681e-04
174,ae,4.563951e-04
175,af,4.592313e-04
176,b0,4.624707e-04
177,b1,4.643002e-04
178,b2,4.659176e-04
179,b3,4.701212e-04
180,b4,4.719036e-04
181,b5,4.741457e-04
182,b6,4.755155e-04
183,b7,4.788610e-04
184,b8,4.803109e-04
185,b9,4.847692e-04
186,ba,4.866128e-04
187,bb,4.901186e-04
188,bc,4.897909e-04
189,bd,4.921061e-04
190,be,4.942304e-04
191,bf,4.989598e-04
192,c0,4.986981e-04
193,c1,5.019917e-04
194,c2,5.027886e-04
195,c3,5.056814e-04
196,c4,5.101986e-04
197,c5,5.112265e-04
198,c6,5.159159e-04
199,c7,5.151991e-04
200,c8,5.206736e-04
201,c9,5.213903e-04
202,ca,5.260348e-04
203,cb,5.261291e-04
204,cc,5.303163e-04
205,cd,5.312617e-04
206,ce,5.326951e-04
207,cf,5.369082e-04
208,d0,5.378088e-04
209,d1,5.411897e-04
210,d2,5.432172e-04
211,d3,5.453509e-04
212,d4,5.521149e-04
213,d5,5.495687e-04
214,d6,5.532136e-04
215,d7,5.550502e-04
216,d8,5.600177e-04
217,d9,5.599281e-04
218,da,5.624838e-04
219,db,5.638724e-04
220,dc,5.673051e-04
221,dd,5.692808e-04
222,de,5.723929e-04
223,df,5.751301e-04
224,e0,5.767262e-04
225,e1,5.796686e-04
226,e2,5.827712e-04
227,e3,5.847115e-04
228,e4,5.861756e-04
229,e5,5.886276e-04
230,e6,5.924399e-04
231,e7,5.943260e-04
232,e8,5.966223e-04
233,e9,5.987277e-04
234,ea,6.005595e-04
235,eb,6.034453e-04
236,ec,6.073189e-04
237,ed,6.081841e-04
238,ee,6.102612e-04
239,ef,6.121921e-04
240,f0,6.161435e-04
241,f1,6.186567e-04
242,f2,6.191872e-04
243,f3,6.217240e-04
244,f4,6.260055e-04
245,f5,6.279010e-04
246,f6,6.287238e-04
247,f7,6.317699e-04
248,f8,6.354336e-04
249,f9,6.372207e-04
250,fa,6.395878e-04
251,fb,6.442700e-04
252,fc,6.441875e-04
253,fd,6.480800e-04
254,fe,6.499755e-04
255,ff,6.517296e-04
256,100,6.545776e-04
257,101,6.581730e-04
258,102,6.586540e-04
259,103,6.620136e-04
260,104,6.645669e-04
261,105,6.670306e-04
262,106,6.687399e-04
263,107,6.720076e-04
264,108,6.741035e-04
265,109,6.767558e-04
266,10a,6.785005e-04
267,10b,6.815041e-04
268,10c,6.826169e-04
269,10d,6.858634e-04
270,10e,6.896639e-04
271,10f,6.899303e-04
272,110,6.926534e-04
273,111,6.964774e-04
274,112,6.980240e-04
275,113,7.025554e-04
276,114,7.032745e-04
277,115,7.069477e-04
278,116,7.090861e-04
279,117,7.097462e-04
280,118,7.143813e-04
281,119,7.146949e-04
282,11a,7.164372e-04
283,11b,7.216334e-04
284,11c,7.225363e-04
285,11d,7.235478e-04
286,11e,7.273954e-04
287,11f,7.289043e-04
288,120,7.320871e-04
289,121,7.357249e-04
290,122,7.363615e-04
291,123,7.386083e-04
292,124,7.425856e-04
293,125,7.429864e-04
294,126,7.452191e-04
295,127,7.485929e-04
296,128,7.541310e-04
297,129,7.528885e-04
298,12a,7.560642e-04
299,12b,7.601594e-04
300,12c,7.610483e-04
301,12d,7.637855e-04
302,12e,7.652684e-04
303,12f,7.695310e-04
304,130,7.726572e-04
305,131,7.725653e-04
306,132,7.742369e-04
307,133,7.780821e-04
308,134,7.812272e-04
309,135,7.827974e-04
310,136,7.846906e-04
311,137,7.871543e-04
