#Resolution = 0.0001mV
#Settling time = 0.5s
level, level (hex),  voltage
0,0,6.801768e-06
1,1,6.393897e-06
2,2,9.201837e-06
3,3,1.121054e-05
4,4,1.448529e-05
5,5,1.584093e-05
6,6,1.783784e-05
7,7,2.493196e-05
8,8,2.355981e-05
9,9,2.616736e-05
10,a,3.290547e-05
11,b,3.168186e-05
12,c,3.279702e-05
13,d,3.504148e-05
14,e,3.950684e-05
15,f,4.241615e-05
16,10,4.246802e-05
17,11,4.458753e-05
18,12,5.764646e-05
19,13,5.863666e-05
20,14,6.223441e-05
21,15,6.647343e-05
22,16,5.816513e-05
23,17,6.056992e-05
24,18,6.232400e-05
25,19,6.429026e-05
26,1a,6.651351e-05
27,1b,6.970810e-05
28,1c,7.158242e-05
29,1d,7.384339e-05
30,1e,7.617508e-05
31,1f,7.826866e-05
32,20,8.357097e-05
33,21,8.308294e-05
34,22,8.620916e-05
35,23,8.822022e-05
36,24,9.000259e-05
37,25,9.284354e-05
38,26,9.478387e-05
39,27,9.719573e-05
40,28,1.006332e-04
41,29,1.021727e-04
42,2a,1.037358e-04
43,2b,1.076188e-04
44,2c,1.102051e-04
45,2d,1.112897e-04
46,2e,1.146516e-04
47,2f,1.159625e-04
48,30,1.194541e-04
49,31,1.226369e-04
50,32,1.245301e-04
51,33,1.263667e-04
52,34,1.286442e-04
53,35,1.311008e-04
54,36,1.337815e-04
55,37,1.357854e-04
56,38,1.378790e-04
57,39,1.408025e-04
58,3a,1.431130e-04
59,3b,1.451028e-04
60,3c,1.473119e-04
61,3d,1.496412e-04
62,3e,1.524940e-04
63,3f,1.550614e-04
64,40,1.577892e-04
65,41,1.605359e-04
66,42,1.633202e-04
67,43,1.654704e-04
68,44,1.720906e-04
69,45,1.725103e-04
70,46,1.749811e-04
71,47,1.768412e-04
72,48,1.782440e-04
73,49,1.792413e-04
74,4a,1.824548e-04
75,4b,1.841428e-04
76,4c,1.906192e-04
77,4d,1.911662e-04
78,4e,1.932598e-04
79,4f,1.952449e-04
80,50,1.966784e-04
81,51,1.987413e-04
82,52,2.033505e-04
83,53,2.055902e-04
84,54,2.072099e-04
85,55,2.099518e-04
86,56,2.124273e-04
87,57,2.130262e-04
88,58,2.163764e-04
89,59,2.176424e-04
90,5a,2.236685e-04
91,5b,2.238053e-04
92,5c,2.256537e-04
93,5d,2.262619e-04
94,5e,2.297135e-04
95,5f,2.327926e-04
96,60,2.379298e-04
97,61,2.386843e-04
98,62,2.399881e-04
99,63,2.437037e-04
100,64,2.448495e-04
101,65,2.479757e-04
102,66,2.501424e-04
103,67,2.527098e-04
104,68,2.552962e-04
105,69,2.569441e-04
106,6a,2.585497e-04
107,6b,2.631589e-04
108,6c,2.635974e-04
109,6d,2.678977e-04
110,6e,2.699323e-04
111,6f,2.713469e-04
112,70,2.732047e-04
113,71,2.774980e-04
114,72,2.775994e-04
115,73,2.818855e-04
116,74,2.832978e-04
117,75,2.870417e-04
118,76,2.885694e-04
119,77,2.908092e-04
120,78,2.928862e-04
121,79,2.948148e-04
122,7a,2.966207e-04
123,7b,3.003387e-04
124,7c,3.035592e-04
125,7d,3.066407e-04
126,7e,3.095618e-04
127,7f,3.102950e-04
128,80,3.140531e-04
129,81,3.135980e-04
130,82,3.170614e-04
131,83,3.180092e-04
132,84,3.228470e-04
133,85,3.241366e-04
134,86,3.272251e-04
135,87,3.317565e-04
136,88,3.315938e-04
137,89,3.334540e-04
138,8a,3.369551e-04
139,8b,3.392844e-04
140,8c,3.411470e-04
141,8d,3.441977e-04
142,8e,3.443510e-04
143,8f,3.480383e-04
144,90,3.502781e-04
145,91,3.550004e-04
146,92,3.541210e-04
147,93,3.572425e-04
148,94,3.607412e-04
149,95,3.649331e-04
150,96,3.670078e-04
151,97,3.682503e-04
152,98,3.688727e-04
153,99,3.719235e-04
154,9a,3.732320e-04
155,9b,3.772140e-04
156,9c,3.803426e-04
157,9d,3.834334e-04
158,9e,3.863286e-04
159,9f,3.872552e-04
160,a0,3.890753e-04
161,a1,3.919044e-04
162,a2,3.940169e-04
163,a3,3.962024e-04
164,a4,3.985034e-04
165,a5,4.004721e-04
166,a6,4.043197e-04
167,a7,4.058522e-04
168,a8,4.072903e-04
169,a9,4.113407e-04
170,aa,4.138162e-04
171,ab,4.156929e-04
172,ac,4.198919e-04
173,ad,4.207831e-04
174,ae,4.232963e-04
175,af,4.241097e-04
176,b0,4.269506e-04
177,b1,4.287849e-04
178,b2,4.311613e-04
179,b3,4.358672e-04
180,b4,4.356008e-04
181,b5,4.375222e-04
182,b6,4.404245e-04
183,b7,4.436544e-04
184,b8,4.457268e-04
185,b9,4.495344e-04
186,ba,4.510173e-04
187,bb,4.533938e-04
188,bc,4.549003e-04
189,bd,4.591535e-04
190,be,4.604290e-04
191,bf,4.646138e-04
192,c0,4.660826e-04
193,c1,4.678602e-04
194,c2,4.701165e-04
195,c3,4.722643e-04
196,c4,4.744946e-04
197,c5,4.768192e-04
198,c6,4.787808e-04
199,c7,4.813247e-04
200,c8,4.853916e-04
201,c9,4.907811e-04
202,ca,4.880133e-04
203,cb,4.913776e-04
204,cc,4.969864e-04
205,cd,5.007374e-04
206,ce,4.999099e-04
207,cf,5.020530e-04
208,d0,5.037929e-04
209,d1,5.063156e-04
210,d2,5.094512e-04
211,d3,5.108799e-04
212,d4,5.143787e-04
213,d5,5.171937e-04
214,d6,5.203600e-04
215,d7,5.222532e-04
216,d8,5.234791e-04
217,d9,5.266619e-04
218,da,5.288145e-04
219,db,5.292931e-04
220,dc,5.317120e-04
221,dd,5.350716e-04
222,de,5.367455e-04
223,df,5.402678e-04
224,e0,5.436840e-04
225,e1,5.446530e-04
226,e2,5.475482e-04
227,e3,5.486421e-04
228,e4,5.513911e-04
229,e5,5.537205e-04
230,e6,5.559885e-04
231,e7,5.611211e-04
232,e8,5.609443e-04
233,e9,5.630001e-04
234,ea,5.672132e-04
235,eb,5.695755e-04
236,ec,5.721218e-04
237,ed,5.731285e-04
238,ee,5.763608e-04
239,ef,5.782658e-04
240,f0,5.809723e-04
241,f1,5.823940e-04
242,f2,5.860295e-04
243,f3,5.896861e-04
244,f4,5.907707e-04
245,f5,5.942057e-04
246,f6,5.944203e-04
247,f7,5.975111e-04
248,f8,5.995293e-04
249,f9,6.031129e-04
250,fa,6.055318e-04
251,fb,6.082030e-04
252,fc,6.083916e-04
253,fd,6.136279e-04
254,fe,6.155116e-04
255,ff,6.157686e-04
256,100,6.219126e-04
257,101,6.201444e-04
258,102,6.248219e-04
259,103,6.261516e-04
260,104,6.276110e-04
261,105,6.300370e-04
262,106,6.326210e-04
263,107,6.350045e-04
264,108,6.383288e-04
265,109,6.406369e-04
266,10a,6.436170e-04
267,10b,6.439140e-04
268,10c,6.475189e-04
269,10d,6.508455e-04
270,10e,6.506521e-04
271,10f,6.554900e-04
272,110,6.569517e-04
273,111,6.609833e-04
274,112,6.609126e-04
275,113,6.658259e-04
276,114,6.682802e-04
277,115,6.706967e-04
278,116,6.725876e-04
279,117,6.747707e-04
280,118,6.758458e-04
281,119,6.782388e-04
282,11a,6.824071e-04
283,11b,6.817305e-04
284,11c,6.879900e-04
285,11d,6.863750e-04
286,11e,6.916702e-04
287,11f,6.930094e-04
288,120,6.957890e-04
289,121,6.964727e-04
290,122,6.987125e-04
291,123,7.017703e-04
292,124,7.040737e-04
293,125,7.074947e-04
294,126,7.099324e-04
295,127,7.120237e-04
296,128,7.156638e-04
297,129,7.189103e-04
298,12a,7.206196e-04
299,12b,7.206196e-04
300,12c,7.232625e-04
301,12d,7.252099e-04
302,12e,7.281216e-04
303,12f,7.296257e-04
304,130,7.324643e-04
305,131,7.338813e-04
306,132,7.376158e-04
307,133,7.420033e-04
308,134,7.435593e-04
309,135,7.461527e-04
310,136,7.489654e-04
311,137,7.491069e-04
312,138,7.523910e-04
313,139,7.553994e-04
314,13a,7.580753e-04
315,13b,7.610365e-04
316,13c,7.628212e-04
317,13d,7.643183e-04
318,13e,7.658673e-04
319,13f,7.684724e-04
320,140,7.718604e-04
321,141,7.751162e-04
322,142,7.771084e-04
323,143,7.793694e-04
324,144,7.820854e-04
325,145,7.836603e-04
326,146,7.878333e-04
327,147,7.875858e-04
328,148,7.888919e-04
329,149,7.954720e-04
330,14a,7.970847e-04
331,14b,8.013496e-04
332,14c,8.002981e-04
333,14d,8.044475e-04
334,14e,8.067321e-04
335,14f,8.079793e-04
336,150,8.129067e-04
337,151,8.154648e-04
338,152,8.161390e-04
339,153,8.176503e-04
340,154,8.192912e-04
341,155,8.243365e-04
342,156,8.238414e-04
343,157,8.297379e-04
344,158,8.309002e-04
345,159,8.316688e-04
346,15a,8.337953e-04
347,15b,8.368697e-04
348,15c,8.396753e-04
349,15d,8.417358e-04
350,15e,8.446546e-04
351,15f,8.483820e-04
352,160,8.475993e-04
353,161,8.503742e-04
354,162,8.550659e-04
355,163,8.563767e-04
356,164,8.593474e-04
357,165,8.611674e-04
358,166,8.642064e-04
359,167,8.658686e-04
360,168,8.667385e-04
361,169,8.704542e-04
362,16a,8.709328e-04
363,16b,8.748064e-04
364,16c,8.776261e-04
365,16d,8.804977e-04
366,16e,8.823107e-04
367,16f,8.853237e-04
368,170,8.864224e-04
369,171,8.883085e-04
370,172,8.919888e-04
371,173,8.940093e-04
372,174,8.976707e-04
373,175,9.008511e-04
374,176,9.025038e-04
375,177,9.037298e-04
376,178,9.067617e-04
377,179,9.097276e-04
378,17a,9.126133e-04
379,17b,9.148460e-04
380,17c,9.163195e-04
381,17d,9.183660e-04
382,17e,9.208438e-04
383,17f,9.232250e-04
384,180,9.257807e-04
385,181,9.284236e-04
386,182,9.288810e-04
387,183,9.313070e-04
388,184,9.343979e-04
389,185,9.375005e-04
390,186,9.386416e-04
391,187,9.431329e-04
392,188,9.435502e-04
393,189,9.466811e-04
394,18a,9.485861e-04
395,18b,9.510970e-04
396,18c,9.550130e-04
397,18d,9.569745e-04
398,18e,9.592331e-04
399,18f,9.607067e-04
400,190,9.632859e-04
401,191,9.657544e-04
402,192,9.700028e-04
403,193,9.709907e-04
404,194,9.744941e-04
405,195,9.754584e-04
406,196,9.782097e-04
407,197,9.822248e-04
408,198,9.853392e-04
409,199,9.845635e-04
410,19a,9.871923e-04
411,19b,9.916294e-04
412,19c,9.934990e-04
413,19d,9.953544e-04
414,19e,9.974386e-04
415,19f,1.000897e-03
416,1a0,1.003686e-03
417,1a1,1.005108e-03
418,1a2,1.005912e-03
419,1a3,1.008630e-03
420,1a4,1.012042e-03
421,1a5,1.014652e-03
422,1a6,1.016974e-03
423,1a7,1.019185e-03
424,1a8,1.022764e-03
425,1a9,1.024794e-03
426,1aa,1.025975e-03
427,1ab,1.028675e-03
428,1ac,1.029835e-03
429,1ad,1.034897e-03
430,1ae,1.034864e-03
431,1af,1.040279e-03
432,1b0,1.038973e-03
433,1b1,1.045673e-03
434,1b2,1.045489e-03
435,1b3,1.048302e-03
436,1b4,1.052051e-03
437,1b5,1.053868e-03
438,1b6,1.055335e-03
439,1b7,1.057490e-03
440,1b8,1.061215e-03
441,1b9,1.062137e-03
442,1ba,1.064487e-03
443,1bb,1.066614e-03
444,1bc,1.068531e-03
445,1bd,1.074345e-03
446,1be,1.074382e-03
447,1bf,1.076855e-03
448,1c0,1.080029e-03
449,1c1,1.081427e-03
450,1c2,1.084850e-03
451,1c3,1.086427e-03
452,1c4,1.088903e-03
453,1c5,1.090527e-03
454,1c6,1.093470e-03
455,1c7,1.096801e-03
456,1c8,1.101747e-03
457,1c9,1.099729e-03
458,1ca,1.104119e-03
459,1cb,1.104124e-03
460,1cc,1.107127e-03
461,1cd,1.109803e-03
462,1ce,1.111520e-03
463,1cf,1.114231e-03
464,1d0,1.117602e-03
465,1d1,1.120325e-03
466,1d2,1.121707e-03
467,1d3,1.125350e-03
468,1d4,1.125430e-03
469,1d5,1.128827e-03
470,1d6,1.132578e-03
471,1d7,1.134337e-03
472,1d8,1.136145e-03
473,1d9,1.138741e-03
474,1da,1.140346e-03
475,1db,1.145503e-03
476,1dc,1.145882e-03
477,1dd,1.148240e-03
